timestamp_ms,speed,g_force,temp,humidity,lux,altitude
0,0.0,0.0,21.8,52.3,780,145.0
1000,18.5,0.4,21.9,52.2,785,145.3
2000,35.2,0.8,22.0,52.1,790,145.7
3000,48.8,1.2,22.1,52.0,795,146.2
4000,62.5,1.6,22.3,51.9,800,146.8
5000,75.2,2.0,22.5,51.8,805,147.5
6000,85.8,2.4,22.7,51.7,810,148.2
7000,93.5,2.7,22.9,51.6,815,149.0
8000,98.2,3.0,23.1,51.5,820,149.8
9000,101.5,3.2,23.3,51.4,825,150.6
10000,103.2,3.3,23.5,51.3,830,151.5
11000,104.5,3.4,23.7,51.2,835,152.3
12000,105.0,3.5,23.9,51.1,840,153.2
13000,105.2,3.5,24.1,51.0,845,154.0
14000,104.8,3.4,24.3,50.9,850,154.8
15000,103.2,3.2,24.4,50.8,855,155.5
16000,100.5,2.9,24.5,50.7,860,156.2
17000,96.2,2.5,24.6,50.8,865,156.8
18000,89.8,2.1,24.5,50.9,870,157.3
19000,81.5,1.7,24.4,51.0,875,157.7
20000,71.2,1.3,24.3,51.1,880,158.0
21000,59.5,0.9,24.2,51.2,885,158.3
22000,46.8,0.6,24.1,51.3,890,158.5
23000,33.2,0.4,24.0,51.4,895,158.7
24000,19.5,0.2,23.9,51.5,900,158.8
25000,8.2,0.1,23.8,51.6,905,158.9
26000,2.5,0.0,23.7,51.7,910,159.0
27000,0.0,0.0,23.6,51.8,915,159.0
