timestamp_ms,speed,g_force,temp,humidity,lux,altitude
0,0.0,0.0,24.5,46.8,890,152.0
1000,22.5,0.5,24.6,46.7,895,152.4
2000,42.8,1.0,24.7,46.6,900,152.9
3000,58.5,1.5,24.8,46.5,905,153.5
4000,71.2,2.0,25.0,46.4,910,154.2
5000,82.5,2.4,25.2,46.3,915,155.0
6000,91.8,2.8,25.4,46.2,920,155.8
7000,98.5,3.1,25.6,46.1,925,156.7
8000,102.8,3.3,25.8,46.0,930,157.6
9000,105.5,3.5,26.0,45.9,935,158.5
10000,107.2,3.6,26.2,45.8,940,159.4
11000,108.5,3.7,26.4,45.7,945,160.3
12000,109.2,3.8,26.6,45.6,950,161.2
13000,109.8,3.8,26.8,45.5,955,162.0
14000,110.0,3.9,27.0,45.4,960,162.8
15000,109.5,3.8,27.1,45.3,965,163.5
16000,108.2,3.6,27.2,45.2,970,164.2
17000,105.8,3.4,27.3,45.1,975,164.8
18000,102.5,3.1,27.2,45.2,980,165.3
19000,97.8,2.8,27.1,45.3,985,165.7
20000,91.5,2.4,27.0,45.4,990,166.0
21000,83.8,2.0,26.9,45.5,995,166.2
22000,74.5,1.6,26.8,45.6,1000,166.4
23000,63.8,1.2,26.7,45.7,1005,166.5
24000,52.2,0.9,26.6,45.8,1010,166.6
25000,39.5,0.6,26.5,45.9,1015,166.6
26000,26.8,0.4,26.4,46.0,1020,166.6
27000,15.2,0.2,26.3,46.1,1025,166.6
28000,6.5,0.1,26.2,46.2,1030,166.5
29000,1.8,0.0,26.1,46.3,1035,166.5
30000,0.0,0.0,26.0,46.4,1040,166.5
